"species","t","p","num_corr","BH_p"
"s__Schaalia_sp._ORNL0103",12182.6964455102,2.61280322375763e-05,2,0.00271731535270793
"s__Rothia_aeria",5927.63056703673,5.36993457274779e-05,8,0.00279236597782885
"s__Streptococcus_sp._Marseille_Q4154",2527.99157295714,0.000125914133965561,1,0.00436502331080611
"s__Fusobacterium_periodonticum",1670.07396566833,0.00019059625782199,2,0.00473827079823869
"s__Granulicatella_sp._HMSC30F09",1397.3123918444,0.000227801480684552,1,0.00473827079823869
"s__Prevotella_jejuni",663.135546009284,0.000480006910831521,3,0.0071424509948278
"s__Lachnoanaerobaculum_orale",662.121708578897,0.00048074189388264,2,0.0071424509948278
"s__Rothia_dentocariosa",524.348766738317,0.000607056830232637,8,0.00742915287660598
"s__Prevotella_vespertina",495.109285417334,0.000642907460475518,1,0.00742915287660598
"s__Streptococcus_sanguinis",383.98111791065,0.000828970883487543,5,0.00862129718827045
"s__Megasphaera_micronuciformis",304.720243283554,0.00104459336234737,2,0.00987615542582968
"s__Streptococcus_salivarius",257.013332275104,0.00123848936984831,4,0.0107335745386853
"s__Haemophilus_parahaemolyticus",226.396659821684,0.00140597399436267,7,0.0112477919549013
"s__Actinomyces_sp._ICM47",143.450175398425,0.00221892186110092,4,0.0164560657258828
"s__Leptotrichia_sp._oral_taxon_417",134.109068314433,0.00237347101815617,2,0.0164560657258828
"s__Streptococcus_sp._F0442",111.549438486592,0.00285345550776341,3,0.0185474608004622
"s__Streptococcus_sp._oral_taxon_431",97.8109133183293,0.00325422578627553,2,0.0199082048101562
"s__Veillonella_tobetsuensis",80.2018813148385,0.00396865244582187,2,0.022929991909193
"s__Prevotella_melaninogenica",75.9402077425721,0.00419134341262479,7,0.0229420902585778
"s__Haemophilus_parainfluenzae",63.1077255855138,0.00504349103740187,5,0.0238419576313543
"s__Neisseria_sp._oral_taxon_014",64.9223767047542,0.00490254258435213,13,0.0238419576313543
"s__Streptococcus_sp._Marseille_Q0941",66.7503898287641,0.00476830287904831,2,0.0238419576313543
"s__Lachnoanaerobaculum_saburreum",56.9545741114564,0.00558826376752883,4,0.0244500996492284
"s__Streptococcus_sp._Marseille_Q6470",56.4087014032035,0.00564233068828348,3,0.0244500996492284
"s__Prevotella_nanceiensis",51.7080047146095,0.00615514392863879,1,0.0256053987431374
"s__Streptococcus_oralis",40.9337134626163,0.00777468150786104,3,0.0266837568325056
"s__Streptococcus_infantis",41.2146485666307,0.00772170710897138,5,0.0266837568325056
"s__Veillonella_atypica",41.2906928853734,0.00770749174434511,2,0.0266837568325056
"s__Rothia_sp._HMSC065C12",38.7605726668731,0.00821038671769403,2,0.0266837568325056
"s__Mogibacterium_diversum",39.0652083880439,0.00814638908695182,4,0.0266837568325056
"s__Streptococcus_sp._HMSC061D10",42.4963571739125,0.00748890433156845,2,0.0266837568325056
"s__Aggregatibacter_segnis",42.770297742162,0.00744095598628205,3,0.0266837568325056
"s__Alloprevotella_tannerae",34.6234322932157,0.00919092649501247,1,0.0289653441054938
"s__Actinomyces_sp._ICM58",27.9209922591564,0.0113955079049095,4,0.0348568477091351
"s__Veillonella_dispar",24.6604359819548,0.0129006472431001,2,0.0353070345600635
"s__Actinomyces_oris",25.8124943659473,0.0123254567644553,3,0.0353070345600635
"s__Streptococcus_sp._Marseille_Q3533",24.7317215528357,0.0128635035432652,4,0.0353070345600635
"s__Streptococcus_sp._HMSC034E03",26.6359302763461,0.0119447849922649,1,0.0353070345600635
"s__Streptococcus_sp._HMSC062D07",22.3026441105379,0.0142627407367792,1,0.037083125915626
"s__Actinomyces_sp._ph3",22.6735245133625,0.0140297436122588,3,0.037083125915626
"s__Haemophilus_haemolyticus",19.5394555352395,0.0162764214018852,5,0.0412865323364894
"s__Fusobacterium_nucleatum",18.8044296806979,0.0169114585977564,3,0.041875992718254
"s__Streptococcus_australis",16.3174737225719,0.0194829354121291,2,0.0471215182060798
"s__Streptococcus_sp._HPH0090",15.0476230197739,0.021122441297467,4,0.0499257703394673
"s__Solobacterium_moorei",13.6537687795517,0.0232714183141555,8,0.0537828334371595
"s__Peptostreptococcus_stomatis",11.3672946057488,0.027930352292728,5,0.0631468834444285
"s__Streptococcus_anginosus",9.73368104049354,0.0325875725458958,4,0.0709932894947998
"s__Porphyromonas_endodontalis",9.68026326173795,0.0327661336129845,1,0.0709932894947998
"s__Streptococcus_sp._HMSC074B11",8.94581430295862,0.0354348854132812,2,0.0752087363873724
"s__Actinomyces_sp._oral_taxon_172",8.33623704950057,0.0380022916371797,1,0.0767640759949986
"s__Abiotrophia_sp._HMSC24B09",8.25296659311777,0.0383820379974993,1,0.0767640759949986
"s__Lachnoanaerobaculum_sp._ICM7",8.39491976698661,0.0377391365551986,1,0.0767640759949986
"s__Streptococcus_cristatus",8.02395484943193,0.0394664603106925,7,0.0774436202323024
"s__Actinomyces_sp._S6_Spd3",7.48607634904143,0.0422700200973958,1,0.0814089275949846
"s__Haemophilus_influenzae",7.20501513813137,0.0438984909585322,3,0.082031243124799
"s__Streptococcus_sp._oral_taxon_061",7.16004829155572,0.0441706693748917,3,0.082031243124799
"s__Streptococcus_parasanguinis",6.16352905065987,0.051197972706592,6,0.0934138449383432
"s__Prevotella_histicola",5.22325672600256,0.0602122739421179,2,0.107966836034142
"s__Streptococcus_pneumoniae",4.66942050768179,0.067154632800249,2,0.11837426798688
"s__Neisseria_sicca",4.52880606749282,0.0691756093330405,5,0.119904389510604
"s__Gemella_morbillorum",4.39853833202135,0.0711576705298794,1,0.121317995657499
"s__Leptotrichia_wadei",4.2656926421941,0.0732973183816206,1,0.122950340511106
"s__Neisseria_flavescens",4.18249024924413,0.0747029585182166,7,0.123319169617373
"s__Lancefieldella_parvula",4.06322886245203,0.0768125865567214,5,0.124820453154672
"s__Veillonella_sp._oral_taxon_158",3.95509209083519,0.0788289689291642,1,0.126126350286663
"s__Neisseria_meningitidis",3.79428920139277,0.0820265815248386,5,0.129095655851206
"s__Streptococcus_sp._XMC",3.73984827234539,0.0831673936733729,1,0.129095655851206
"s__Neisseria_mucosa",2.81579476214565,0.108622006871905,5,0.165968716057936
"s__Neisseria_sp._HMSC071A01",2.77449255005918,0.110113859692285,3,0.165968716057936
"s__Granulicatella_adiacens",2.64109327980084,0.115212351187692,1,0.171172636050285
"s__Veillonella_nakazawae",2.44365609654776,0.123641672241551,2,0.176147039905771
"s__Parvimonas_micra",2.45417662357919,0.123163080429598,1,0.176147039905771
"s__Streptococcus_intermedius",2.47674745207734,0.122148088600217,5,0.176147039905771
"s__Actinomyces_graevenitzii",2.3202478986248,0.129530462019221,2,0.179615573999986
"s__Gemella_sanguinis",2.34533898847657,0.128290631317604,3,0.179615573999986
"s__Porphyromonas_sp._oral_taxon_279",1.99425881665679,0.147949953853695,1,0.202457831589267
"s__Streptococcus_sp._263_SSPC",1.95004698263177,0.150828451036434,7,0.203716349451806
"s__Haemophilus_sp._Marseille_Q0026",1.87066685368628,0.156264258043203,1,0.208352344057605
"s__Gemella_haemolysans",1.72555511441997,0.167185035070396,4,0.216789743314581
"s__Actinomyces_bouchesdurhonensis",1.73179934206621,0.166686679834713,1,0.216789743314581
"s__Actinomyces_sp._oral_taxon_181",1.70498678269738,0.168845857773856,3,0.216789743314581
"s__Streptococcus_gordonii",1.63447649071508,0.174772170730209,2,0.221662265316362
"s__Haemophilus_paraphrohaemolyticus",1.36376486902955,0.201395905763187,2,0.252351496377969
"s__Prevotella_salivae",0.960052988040678,0.256486441338753,1,0.317554641657504
"s__Veillonella_parvula",0.928472120396568,0.26180084426344,1,0.32032103298115
"s__Neisseria_subflava",0.873735396621324,0.271417432418811,4,0.328225732227399
"s__Haemophilus_sputorum",0.802458801335582,0.284746627368589,1,0.338777293223789
"s__Porphyromonas_bobii",0.792636050830122,0.286657709650898,1,0.338777293223789
"s__Rothia_sp._HMSC062F03",0.571157128233633,0.33481580168636,1,0.391245431184061
"s__Streptococcus_sp._343_SSPC",0.516813615800128,0.348163686273047,1,0.402322481915521
"s__Streptococcus_sp._HSISS2",0.230534521483317,0.4278786209358,2,0.489004138212343
"s__Prevotella_pallens",0.0855801355424572,0.472825210074803,1,0.53449806356282
"s__Prevotella_intermedia",-0.0543774137898671,0.517291838382171,9,0.578476894534901
"s__Leptotrichia_sp._oral_taxon_221",-0.121003123552953,0.538330141832436,1,0.595599305857164
"s__Rothia_sp._HMSC072B04",-0.209420839313446,0.565711075220047,2,0.619304756030367
"s__Actinomyces_naeslundii",-0.352476446868153,0.607868632155551,1,0.651735440661621
"s__Veillonella_sp._CLA_AA_H247",-0.336755036243187,0.603395619736795,2,0.651735440661621
"s__Rothia_mucilaginosa",-0.477108997179947,0.641701274132994,2,0.680989107243177
"s__Schaalia_odontolytica",-0.737363191248508,0.702242761874987,1,0.737709568030289
"s__Streptococcus_rubneri",-0.965494929512978,0.744412513215212,1,0.77418901374382
"s__Lautropia_mirabilis",-1.64668427620802,0.826280485279405,1,0.847189231001877
"s__Rothia_sp._HMSC072E10",-1.7018365199037,0.830897130405687,1,0.847189231001877
"s__Streptococcus_sp._A12",-3.34439999376895,0.907516396758218,1,0.916327235561696
"s__Streptococcus_sp._1001283B150225_161107_H12",-4.50068727163673,0.930405806069145,1,0.930405806069145
"s__Streptococcus_mitis",NA,NA,0,NA
"s__Streptococcus_pseudopneumoniae",NA,NA,0,NA
"s__Streptococcus_vestibularis",NA,NA,0,NA
"s__Streptococcus_sp._M334",NA,NA,0,NA
"s__Veillonella_rogosae",NA,NA,0,NA
"s__Streptococcus_timonensis",NA,NA,0,NA
"s__Streptococcus_sp._HMSC067H01",NA,NA,0,NA
"s__Alloprevotella_sp._oral_taxon_473",NA,NA,0,NA
"s__Streptococcus_sp._UMB0029",NA,NA,0,NA
"s__Porphyromonas_somerae",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._HMT_352",NA,NA,0,NA
"s__Porphyromonas_sp._KLE_1280",NA,NA,0,NA
"s__Fusobacterium_pseudoperiodonticum",NA,NA,0,NA
"s__Streptococcus_sp._SK140",NA,NA,0,NA
"s__Prevotella_sp._oral_taxon_306",NA,NA,0,NA
"s__Veillonella_sp._S13053_19",NA,NA,0,NA
"s__Streptococcus_sp._HMSC056C01",NA,NA,0,NA
"s__Leptotrichia_sp._oral_taxon_218",NA,NA,0,NA
"s__Alloprevotella_rava",NA,NA,0,NA
"s__Porphyromonas_pasteri",NA,NA,0,NA
"s__Campylobacter_concisus",NA,NA,0,NA
"s__Oribacterium_sinus",NA,NA,0,NA
"s__Leptotrichia_sp._oral_taxon_215",NA,NA,0,NA
"s__Aggregatibacter_sp._2125159857",NA,NA,0,NA
"s__Abiotrophia_defectiva",NA,NA,0,NA
"s__Aggregatibacter_sp._oral_taxon_458",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_057",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_008",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_076",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_087",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_075",NA,NA,0,NA
"s__Candidatus_Nanosynbacter_sp._TM7_053",NA,NA,0,NA
